Global best makespan: 15116.203072565688
Sequence length: 64

Position;Part
1;PartA
2;PartG
3;PartE
4;PartB
5;PartC
6;PartD
7;PartE
8;PartC
9;PartF
10;PartA
11;PartG
12;PartB
13;PartD
14;PartE
15;PartF
16;PartG
17;PartH
18;PartH
19;PartC
20;PartD
21;PartA
22;PartE
23;PartF
24;PartG
25;PartA
26;PartH
27;PartB
28;PartA
29;PartC
30;PartD
31;PartE
32;PartF
33;PartG
34;PartB
35;PartH
36;PartA
37;PartC
38;PartD
39;PartE
40;PartF
41;PartG
42;PartH
43;PartB
44;PartA
45;PartC
46;PartD
47;PartE
48;PartF
49;PartG
50;PartH
51;PartB
52;PartE
53;PartB
54;PartC
55;PartD
56;PartF
57;PartG
58;PartH
59;PartA
60;PartB
61;PartC
62;PartD
63;PartF
64;PartH
