Global best makespan: 14947.238721828657
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartF
7;PartC
8;PartF
9;PartG
10;PartA
11;PartH
12;PartB
13;PartD
14;PartE
15;PartF
16;PartA
17;PartH
18;PartB
19;PartC
20;PartD
21;PartG
22;PartE
23;PartG
24;PartH
25;PartA
26;PartB
27;PartC
28;PartD
29;PartE
30;PartF
31;PartG
32;PartH
33;PartA
34;PartB
35;PartC
36;PartA
37;PartD
38;PartE
39;PartF
40;PartG
41;PartH
42;PartB
43;PartB
44;PartC
45;PartD
46;PartE
47;PartF
48;PartG
49;PartH
50;PartA
51;PartH
52;PartE
53;PartC
54;PartA
55;PartD
56;PartE
57;PartF
58;PartG
59;PartB
60;PartC
61;PartD
62;PartF
63;PartG
64;PartH
