Global best makespan: 14980.084573045162
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartF
4;PartC
5;PartD
6;PartE
7;PartF
8;PartG
9;PartA
10;PartB
11;PartC
12;PartH
13;PartD
14;PartE
15;PartF
16;PartA
17;PartG
18;PartH
19;PartA
20;PartB
21;PartD
22;PartC
23;PartA
24;PartF
25;PartG
26;PartE
27;PartB
28;PartC
29;PartD
30;PartE
31;PartF
32;PartG
33;PartH
34;PartA
35;PartB
36;PartG
37;PartC
38;PartD
39;PartG
40;PartF
41;PartA
42;PartH
43;PartE
44;PartB
45;PartB
46;PartC
47;PartD
48;PartE
49;PartG
50;PartG
51;PartE
52;PartB
53;PartH
54;PartA
55;PartC
56;PartH
57;PartD
58;PartE
59;PartF
60;PartH
61;PartC
62;PartD
63;PartF
64;PartH
