Global best makespan: 15257.97635747678
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartC
7;PartF
8;PartG
9;PartA
10;PartB
11;PartD
12;PartE
13;PartF
14;PartG
15;PartH
16;PartH
17;PartA
18;PartC
19;PartD
20;PartE
21;PartF
22;PartG
23;PartH
24;PartA
25;PartB
26;PartC
27;PartD
28;PartE
29;PartF
30;PartG
31;PartB
32;PartH
33;PartA
34;PartB
35;PartC
36;PartD
37;PartE
38;PartF
39;PartG
40;PartH
41;PartA
42;PartB
43;PartC
44;PartC
45;PartD
46;PartE
47;PartF
48;PartG
49;PartA
50;PartB
51;PartH
52;PartD
53;PartF
54;PartG
55;PartH
56;PartA
57;PartB
58;PartC
59;PartD
60;PartE
61;PartE
62;PartF
63;PartG
64;PartH
