Global best makespan: 15237.044251223535
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartH
7;PartC
8;PartF
9;PartG
10;PartA
11;PartB
12;PartD
13;PartE
14;PartF
15;PartG
16;PartH
17;PartA
18;PartA
19;PartC
20;PartD
21;PartE
22;PartF
23;PartG
24;PartH
25;PartB
26;PartB
27;PartC
28;PartD
29;PartE
30;PartF
31;PartD
32;PartH
33;PartA
34;PartB
35;PartC
36;PartG
37;PartE
38;PartF
39;PartG
40;PartH
41;PartA
42;PartB
43;PartC
44;PartD
45;PartE
46;PartF
47;PartG
48;PartH
49;PartC
50;PartA
51;PartB
52;PartD
53;PartE
54;PartF
55;PartG
56;PartH
57;PartA
58;PartB
59;PartC
60;PartD
61;PartE
62;PartF
63;PartG
64;PartH
