Global best makespan: 14343.459419180903
Sequence length: 64

Position;Part
1;PartA
2;PartC
3;PartD
4;PartE
5;PartF
6;PartG
7;PartH
8;PartA
9;PartB
10;PartC
11;PartD
12;PartE
13;PartF
14;PartG
15;PartH
16;PartA
17;PartB
18;PartC
19;PartD
20;PartE
21;PartF
22;PartG
23;PartH
24;PartA
25;PartB
26;PartB
27;PartC
28;PartD
29;PartE
30;PartF
31;PartG
32;PartH
33;PartA
34;PartB
35;PartC
36;PartD
37;PartE
38;PartF
39;PartG
40;PartH
41;PartA
42;PartB
43;PartC
44;PartD
45;PartE
46;PartF
47;PartG
48;PartH
49;PartA
50;PartB
51;PartC
52;PartG
53;PartD
54;PartE
55;PartF
56;PartG
57;PartH
58;PartA
59;PartB
60;PartC
61;PartD
62;PartE
63;PartF
64;PartH
