iteration;restart_id;iteration_in_restart;candidate_in_iteration;search_mode;no_improvement_count_before_iteration;parent_sequence_signature;action;swap_i;swap_j;move_from;move_to;reverse_start;reverse_end;reinsert_block_start;reinsert_block_end;reinsert_block_to;swap_blocks_start1;swap_blocks_end1;swap_blocks_start2;swap_blocks_end2;valid;duplicate_for_same_parent_sequence;recently_rejected_for_same_parent_sequence;diversification_compatible;parse_error;validation_message;resulting_makespan;best_makespan_before;best_makespan_after;global_best_makespan_after;completed_simulations;actual_global_best_makespan;elapsed_optimization_time_sec;delta_vs_best_before;status;llm_time_sec;simulation_time_sec;exited_parts;completion_valid;llm_attempts;retry_reason
1;1;1;1;normal;0;0f63cf6f404e;move;;;10;5;;;;;;;;;;True;False;False;False;;ok;15632.208925194025;16625.423888583944;16625.423888583944;16625.423888583944;2;16625.423888583944;15.1077;-993.2149633899189;Evaluated;14.4725;0.6257;64;True;1;
1;1;1;2;normal;0;0f63cf6f404e;swap;17;32;;;;;;;;;;;;True;False;False;True;;ok;16804.633565715376;16625.423888583944;16625.423888583944;16625.423888583944;3;16625.423888583944;21.0573;179.20967713143182;Evaluated;5.2375;0.7014;64;True;1;
1;1;1;3;normal;0;0f63cf6f404e;reinsert_block;;;;;;;32;40;16;;;;;True;False;False;True;;ok;16292.2047037198;16625.423888583944;16625.423888583944;16625.423888583944;4;16625.423888583944;27.0143;-333.21918486414324;Evaluated;5.329;0.6272;64;True;1;
1;1;1;4;normal;0;0f63cf6f404e;move;;;52;48;;;;;;;;;;True;False;False;False;;ok;16844.800829468957;16625.423888583944;16625.423888583944;16625.423888583944;5;16625.423888583944;32.695;219.37694088501303;Evaluated;5.0576;0.6225;64;True;1;
1;1;1;5;normal;0;0f63cf6f404e;move;;;24;16;;;;;;;;;;True;False;False;False;;ok;17223.320356425866;16625.423888583944;16625.423888583944;16625.423888583944;6;16625.423888583944;38.458;597.8964678419215;Evaluated;5.1351;0.6272;64;True;1;
1;1;1;;normal;0;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;15632.208925194025;15632.208925194025;6;15632.208925194025;38.4665;;IterationSummary;;;;;;
2;1;2;1;normal;0;457c4bc75f95;move;;;10;5;;;;;;;;;;True;False;False;False;;ok;18203.82111546928;15632.208925194025;15632.208925194025;15632.208925194025;7;15632.208925194025;44.8898;2571.6121902752548;Evaluated;5.7904;0.6236;64;True;1;
2;1;2;2;normal;0;457c4bc75f95;swap;18;25;;;;;;;;;;;;True;False;False;False;;ok;17350.49494750648;15632.208925194025;15632.208925194025;15632.208925194025;8;15632.208925194025;51.3885;1718.2860223124535;Evaluated;5.8738;0.624;64;True;1;
2;1;2;3;normal;0;457c4bc75f95;reinsert_block;;;;;;;34;40;16;;;;;True;False;False;True;;ok;16821.415148426466;15632.208925194025;15632.208925194025;15632.208925194025;9;15632.208925194025;57.9533;1189.2062232324406;Evaluated;5.9383;0.6258;64;True;1;
2;1;2;4;normal;0;457c4bc75f95;move;;;48;32;;;;;;;;;;True;False;False;True;;ok;16823.90750690728;15632.208925194025;15632.208925194025;15632.208925194025;10;15632.208925194025;64.1369;1191.6985817132536;Evaluated;5.5572;0.6255;64;True;1;
2;1;2;5;normal;0;457c4bc75f95;move;;;8;20;;;;;;;;;;True;False;False;True;;ok;15638.21302189564;15632.208925194025;15632.208925194025;15632.208925194025;11;15632.208925194025;70.563;6.004096701615708;Evaluated;5.8002;0.6252;64;True;1;
2;1;2;;normal;1;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;15632.208925194025;15632.208925194025;11;15632.208925194025;70.5641;;IterationSummary;;;;;;
3;1;3;1;normal;1;457c4bc75f95;move;;;8;16;;;;;;;;;;True;False;False;False;;ok;15717.476736027025;15632.208925194025;15632.208925194025;15632.208925194025;12;15632.208925194025;76.9609;85.26781083300011;Evaluated;5.7653;0.6235;64;True;1;
3;1;3;2;normal;1;457c4bc75f95;swap;16;20;;;;;;;;;;;;True;False;False;False;;ok;17794.729685748574;15632.208925194025;15632.208925194025;15632.208925194025;13;15632.208925194025;83.4519;2162.5207605545493;Evaluated;5.8654;0.6248;64;True;1;
3;1;3;3;normal;1;457c4bc75f95;reinsert_block;;;;;;;35;40;20;;;;;True;False;False;True;;ok;17259.281991006712;15632.208925194025;15632.208925194025;15632.208925194025;14;15632.208925194025;90.1547;1627.0730658126868;Evaluated;6.0781;0.6238;64;True;1;
3;1;3;4;normal;1;457c4bc75f95;move;;;52;48;;;;;;;;;;True;False;False;False;;ok;15428.67252579456;15632.208925194025;15632.208925194025;15632.208925194025;15;15632.208925194025;96.3513;-203.53639939946515;Evaluated;5.5698;0.6258;64;True;1;
3;1;3;5;normal;1;457c4bc75f95;move;;;8;32;;;;;;;;;;True;False;False;True;;ok;15717.179013934145;15632.208925194025;15632.208925194025;15632.208925194025;16;15632.208925194025;102.5296;84.97008874011954;Evaluated;5.5497;0.6278;64;True;1;
3;1;3;;normal;0;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;15428.67252579456;15428.67252579456;16;15428.67252579456;102.5377;;IterationSummary;;;;;;
4;1;4;1;normal;0;713dcafcb7e3;move;;;10;5;;;;;;;;;;True;False;False;False;;ok;18421.744210078443;15428.67252579456;15428.67252579456;15428.67252579456;17;15428.67252579456;109.0959;2993.071684283883;Evaluated;5.9224;0.6252;64;True;1;
4;1;4;2;normal;0;713dcafcb7e3;swap;20;24;;;;;;;;;;;;True;False;False;False;;ok;17501.949445333747;15428.67252579456;15428.67252579456;15428.67252579456;18;15428.67252579456;115.3027;2073.2769195391866;Evaluated;5.5822;0.6238;64;True;1;
4;1;4;3;normal;0;713dcafcb7e3;reinsert_block;;;;;;;35;40;28;;;;;True;False;False;False;;ok;16994.725539115578;15428.67252579456;15428.67252579456;15428.67252579456;19;15428.67252579456;122.3689;1566.0530133210177;Evaluated;6.4416;0.6237;64;True;1;
4;1;4;4;normal;0;713dcafcb7e3;move;;;48;52;;;;;;;;;;True;False;False;False;;ok;15632.208925194025;15428.67252579456;15428.67252579456;15428.67252579456;20;15428.67252579456;128.5678;203.53639939946515;Evaluated;5.5744;0.6235;64;True;1;
4;1;4;5;normal;0;713dcafcb7e3;move;;;8;16;;;;;;;;;;True;False;False;False;;ok;15515.407960948818;15428.67252579456;15428.67252579456;15428.67252579456;21;15428.67252579456;134.6573;86.73543515425808;Evaluated;5.466;0.6229;64;True;1;
4;1;4;;normal;1;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;15428.67252579456;15428.67252579456;21;15428.67252579456;134.6582;;IterationSummary;;;;;;
5;1;5;1;normal;1;713dcafcb7e3;move;;;8;24;;;;;;;;;;True;False;False;True;;ok;15499.452371846492;15428.67252579456;15428.67252579456;15428.67252579456;22;15428.67252579456;141.1838;70.7798460519316;Evaluated;5.8939;0.626;64;True;1;
5;1;5;2;normal;1;713dcafcb7e3;swap;17;25;;;;;;;;;;;;True;False;False;False;;ok;15428.67252579456;15428.67252579456;15428.67252579456;15428.67252579456;23;15428.67252579456;151.3503;0.0;Evaluated;9.5396;0.6261;64;True;2;duplicate_for_same_parent_sequence
5;1;5;3;normal;1;713dcafcb7e3;reinsert_block;;;;;;;36;40;18;;;;;True;False;False;True;;ok;16778.75381249591;15428.67252579456;15428.67252579456;15428.67252579456;24;15428.67252579456;162.357;1350.08128670135;Evaluated;10.3791;0.6249;64;True;2;duplicate_for_same_parent_sequence
5;1;5;4;normal;1;713dcafcb7e3;move;;;52;48;;;;;;;;;;True;False;False;False;;ok;15540.001918798765;15428.67252579456;15428.67252579456;15428.67252579456;25;15428.67252579456;168.8359;111.32939300420549;Evaluated;5.8533;0.6229;64;True;1;
5;1;5;5;normal;1;713dcafcb7e3;move;;;8;32;;;;;;;;;;True;False;False;True;;ok;15507.665269786574;15428.67252579456;15428.67252579456;15428.67252579456;26;15428.67252579456;175.0104;78.99274399201386;Evaluated;5.5483;0.6255;64;True;1;
5;1;5;;normal;2;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;15428.67252579456;15428.67252579456;26;15428.67252579456;175.014;;IterationSummary;;;;;;
6;1;6;1;normal;2;713dcafcb7e3;move;;;8;10;;;;;;;;;;True;False;False;False;;ok;15408.32358934798;15428.67252579456;15428.67252579456;15428.67252579456;27;15428.67252579456;181.5249;-20.34893644658041;Evaluated;5.8777;0.6259;64;True;1;
6;1;6;2;normal;2;713dcafcb7e3;swap;18;22;;;;;;;;;;;;True;False;False;False;;ok;18273.492485257128;15428.67252579456;15428.67252579456;15428.67252579456;28;15428.67252579456;192.0416;2844.8199594625676;Evaluated;9.8894;0.6244;64;True;2;duplicate_for_same_parent_sequence
6;1;6;3;normal;2;713dcafcb7e3;move;;;16;28;;;;;;;;;;True;False;False;True;;ok;16430.929615816327;15428.67252579456;15428.67252579456;15428.67252579456;29;15428.67252579456;202.3957;1002.257090021767;Evaluated;9.7261;0.6256;64;True;2;duplicate_for_same_parent_sequence
6;1;6;4;normal;2;713dcafcb7e3;move;;;36;40;;;;;;;;;;True;False;False;False;;ok;17057.49494715796;15428.67252579456;15428.67252579456;15428.67252579456;30;15428.67252579456;212.3413;1628.8224213634003;Evaluated;9.3216;0.623;64;True;2;duplicate_for_same_parent_sequence
6;1;6;5;normal;2;713dcafcb7e3;move;;;34;25;;;;;;;;;;True;False;False;False;;ok;17115.379364048174;15428.67252579456;15428.67252579456;15428.67252579456;31;15428.67252579456;222.9929;1686.7068382536145;Evaluated;10.0248;0.6259;64;True;2;duplicate_for_same_parent_sequence
6;1;6;;normal;0;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;15408.32358934798;15408.32358934798;31;15408.32358934798;223.0099;;IterationSummary;;;;;;
7;1;7;1;normal;0;9ee7b5b56961;move;;;10;25;;;;;;;;;;True;False;False;True;;ok;15497.111581021449;15408.32358934798;15408.32358934798;15408.32358934798;32;15408.32358934798;230.2956;88.78799167346915;Evaluated;6.6508;0.6268;64;True;1;
7;1;7;2;normal;0;9ee7b5b56961;swap;17;25;;;;;;;;;;;;True;False;False;False;;ok;15408.32358934798;15408.32358934798;15408.32358934798;15408.32358934798;33;15408.32358934798;236.5252;0.0;Evaluated;5.6018;0.6247;64;True;1;
7;1;7;3;normal;0;9ee7b5b56961;reinsert_block;;;;;;;36;40;18;;;;;True;False;False;True;;ok;16793.422801294873;15408.32358934798;15408.32358934798;15408.32358934798;34;15408.32358934798;243.1363;1385.0992119468938;Evaluated;5.9846;0.6239;64;True;1;
7;1;7;4;normal;0;9ee7b5b56961;move;;;52;48;;;;;;;;;;True;False;False;False;;ok;15530.818442562677;15408.32358934798;15408.32358934798;15408.32358934798;35;15408.32358934798;249.3471;122.49485321469729;Evaluated;5.5793;0.6287;64;True;1;
7;1;7;5;normal;0;9ee7b5b56961;move;;;8;24;;;;;;;;;;True;False;False;True;;ok;17500.280796084036;15408.32358934798;15408.32358934798;15408.32358934798;36;15408.32358934798;255.4461;2091.957206736057;Evaluated;5.474;0.6244;64;True;1;
7;1;7;;normal;1;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;15408.32358934798;15408.32358934798;36;15408.32358934798;255.4497;;IterationSummary;;;;;;
8;1;8;1;normal;1;9ee7b5b56961;move;;;8;10;;;;;;;;;;True;False;False;False;;ok;16895.556129313707;15408.32358934798;15408.32358934798;15408.32358934798;37;15408.32358934798;261.947;1487.2325399657275;Evaluated;5.8583;0.6276;64;True;1;
8;1;8;2;normal;1;9ee7b5b56961;swap;20;25;;;;;;;;;;;;True;False;False;False;;ok;17954.376776557558;15408.32358934798;15408.32358934798;15408.32358934798;38;15408.32358934798;268.2405;2546.053187209578;Evaluated;5.666;0.6262;64;True;1;
8;1;8;3;normal;1;9ee7b5b56961;move;;;25;32;;;;;;;;;;True;False;False;False;;ok;17055.06727123658;15408.32358934798;15408.32358934798;15408.32358934798;39;15408.32358934798;278.5763;1646.7436818886017;Evaluated;9.7032;0.6281;64;True;2;duplicate_for_same_parent_sequence
