Global best makespan: 14939.191073707756
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartF
7;PartG
8;PartH
9;PartA
10;PartB
11;PartC
12;PartD
13;PartE
14;PartF
15;PartG
16;PartH
17;PartA
18;PartB
19;PartC
20;PartD
21;PartE
22;PartF
23;PartG
24;PartH
25;PartG
26;PartA
27;PartC
28;PartD
29;PartE
30;PartF
31;PartB
32;PartH
33;PartG
34;PartA
35;PartB
36;PartC
37;PartD
38;PartE
39;PartF
40;PartG
41;PartH
42;PartA
43;PartB
44;PartC
45;PartD
46;PartE
47;PartF
48;PartA
49;PartH
50;PartE
51;PartG
52;PartA
53;PartC
54;PartB
55;PartD
56;PartE
57;PartF
58;PartG
59;PartB
60;PartC
61;PartD
62;PartF
63;PartH
64;PartH
