Global best makespan: 15352.54791452043
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartC
7;PartF
8;PartA
9;PartD
10;PartE
11;PartG
12;PartH
13;PartF
14;PartG
15;PartH
16;PartA
17;PartB
18;PartC
19;PartD
20;PartE
21;PartF
22;PartG
23;PartH
24;PartA
25;PartC
26;PartB
27;PartD
28;PartE
29;PartF
30;PartG
31;PartH
32;PartA
33;PartB
34;PartC
35;PartD
36;PartE
37;PartF
38;PartG
39;PartH
40;PartA
41;PartB
42;PartC
43;PartD
44;PartE
45;PartF
46;PartB
47;PartG
48;PartH
49;PartB
50;PartH
51;PartE
52;PartA
53;PartC
54;PartD
55;PartF
56;PartG
57;PartA
58;PartB
59;PartC
60;PartD
61;PartE
62;PartF
63;PartG
64;PartH
