Global best makespan: 15343.230209077808
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartC
7;PartF
8;PartA
9;PartB
10;PartG
11;PartD
12;PartE
13;PartH
14;PartF
15;PartG
16;PartH
17;PartA
18;PartB
19;PartC
20;PartD
21;PartE
22;PartF
23;PartG
24;PartH
25;PartA
26;PartC
27;PartD
28;PartE
29;PartF
30;PartG
31;PartH
32;PartA
33;PartB
34;PartC
35;PartD
36;PartE
37;PartF
38;PartG
39;PartH
40;PartB
41;PartC
42;PartD
43;PartE
44;PartF
45;PartA
46;PartG
47;PartH
48;PartA
49;PartB
50;PartE
51;PartC
52;PartB
53;PartD
54;PartF
55;PartG
56;PartH
57;PartA
58;PartB
59;PartE
60;PartC
61;PartD
62;PartF
63;PartG
64;PartH
