Global best makespan: 14937.011912292266
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartF
7;PartG
8;PartA
9;PartH
10;PartB
11;PartC
12;PartD
13;PartE
14;PartF
15;PartG
16;PartG
17;PartA
18;PartB
19;PartC
20;PartD
21;PartH
22;PartF
23;PartE
24;PartG
25;PartH
26;PartA
27;PartC
28;PartF
29;PartB
30;PartD
31;PartE
32;PartA
33;PartG
34;PartH
35;PartB
36;PartC
37;PartF
38;PartB
39;PartD
40;PartE
41;PartA
42;PartC
43;PartF
44;PartH
45;PartA
46;PartH
47;PartD
48;PartE
49;PartG
50;PartH
51;PartE
52;PartC
53;PartD
54;PartE
55;PartF
56;PartB
57;PartG
58;PartA
59;PartB
60;PartC
61;PartD
62;PartF
63;PartG
64;PartH
