Global best makespan: 15251.434359950814
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartC
7;PartF
8;PartG
9;PartA
10;PartB
11;PartD
12;PartE
13;PartF
14;PartG
15;PartH
16;PartH
17;PartA
18;PartB
19;PartC
20;PartD
21;PartE
22;PartF
23;PartG
24;PartH
25;PartA
26;PartC
27;PartD
28;PartE
29;PartF
30;PartG
31;PartB
32;PartH
33;PartA
34;PartB
35;PartC
36;PartD
37;PartE
38;PartF
39;PartG
40;PartH
41;PartA
42;PartB
43;PartC
44;PartD
45;PartE
46;PartF
47;PartG
48;PartH
49;PartE
50;PartA
51;PartB
52;PartC
53;PartD
54;PartF
55;PartG
56;PartH
57;PartA
58;PartB
59;PartC
60;PartD
61;PartE
62;PartF
63;PartG
64;PartH
