Global best makespan: 14383.409760660958
Sequence length: 64

Position;Part
1;PartA
2;PartC
3;PartF
4;PartD
5;PartE
6;PartA
7;PartC
8;PartB
9;PartH
10;PartD
11;PartE
12;PartF
13;PartG
14;PartG
15;PartH
16;PartA
17;PartB
18;PartC
19;PartD
20;PartE
21;PartF
22;PartG
23;PartH
24;PartA
25;PartB
26;PartC
27;PartD
28;PartE
29;PartF
30;PartG
31;PartB
32;PartH
33;PartA
34;PartB
35;PartC
36;PartD
37;PartE
38;PartF
39;PartG
40;PartA
41;PartB
42;PartH
43;PartC
44;PartD
45;PartE
46;PartF
47;PartG
48;PartH
49;PartB
50;PartF
51;PartG
52;PartD
53;PartB
54;PartC
55;PartA
56;PartE
57;PartG
58;PartH
59;PartA
60;PartC
61;PartD
62;PartE
63;PartF
64;PartH
