Global best makespan: 15275.327635825173
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartC
7;PartF
8;PartG
9;PartA
10;PartB
11;PartD
12;PartE
13;PartF
14;PartG
15;PartH
16;PartH
17;PartA
18;PartC
19;PartD
20;PartE
21;PartF
22;PartG
23;PartH
24;PartA
25;PartC
26;PartD
27;PartE
28;PartF
29;PartG
30;PartB
31;PartH
32;PartA
33;PartB
34;PartC
35;PartC
36;PartB
37;PartE
38;PartF
39;PartG
40;PartH
41;PartB
42;PartD
43;PartE
44;PartF
45;PartG
46;PartH
47;PartB
48;PartC
49;PartD
50;PartE
51;PartD
52;PartA
53;PartA
54;PartG
55;PartF
56;PartG
57;PartH
58;PartA
59;PartB
60;PartC
61;PartD
62;PartE
63;PartF
64;PartH
