Global best makespan: 15172.183499528077
Sequence length: 64

Position;Part
1;PartB
2;PartC
3;PartD
4;PartE
5;PartC
6;PartF
7;PartG
8;PartA
9;PartB
10;PartD
11;PartH
12;PartE
13;PartF
14;PartG
15;PartH
16;PartA
17;PartB
18;PartC
19;PartD
20;PartE
21;PartF
22;PartG
23;PartH
24;PartA
25;PartB
26;PartC
27;PartD
28;PartE
29;PartF
30;PartG
31;PartA
32;PartH
33;PartH
34;PartB
35;PartC
36;PartA
37;PartD
38;PartE
39;PartF
40;PartG
41;PartH
42;PartB
43;PartC
44;PartD
45;PartE
46;PartF
47;PartG
48;PartA
49;PartE
50;PartA
51;PartB
52;PartH
53;PartC
54;PartD
55;PartE
56;PartF
57;PartG
58;PartA
59;PartB
60;PartC
61;PartD
62;PartF
63;PartG
64;PartH
