Global best makespan: 14801.062254338422
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartA
6;PartF
7;PartG
8;PartH
9;PartE
10;PartB
11;PartC
12;PartD
13;PartE
14;PartF
15;PartG
16;PartA
17;PartH
18;PartA
19;PartC
20;PartD
21;PartE
22;PartF
23;PartG
24;PartA
25;PartF
26;PartB
27;PartC
28;PartD
29;PartE
30;PartH
31;PartG
32;PartH
33;PartA
34;PartB
35;PartB
36;PartC
37;PartD
38;PartE
39;PartF
40;PartA
41;PartG
42;PartF
43;PartB
44;PartC
45;PartD
46;PartH
47;PartE
48;PartG
49;PartH
50;PartC
51;PartB
52;PartD
53;PartE
54;PartF
55;PartG
56;PartE
57;PartH
58;PartA
59;PartG
60;PartB
61;PartC
62;PartD
63;PartF
64;PartH
