Global best makespan: 15197.826939625473
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartC
7;PartF
8;PartG
9;PartH
10;PartA
11;PartB
12;PartD
13;PartE
14;PartF
15;PartG
16;PartH
17;PartA
18;PartB
19;PartC
20;PartD
21;PartE
22;PartF
23;PartG
24;PartH
25;PartA
26;PartB
27;PartC
28;PartD
29;PartE
30;PartF
31;PartG
32;PartH
33;PartA
34;PartB
35;PartC
36;PartD
37;PartE
38;PartF
39;PartG
40;PartH
41;PartB
42;PartB
43;PartC
44;PartA
45;PartB
46;PartC
47;PartD
48;PartE
49;PartF
50;PartG
51;PartF
52;PartA
53;PartC
54;PartH
55;PartD
56;PartE
57;PartG
58;PartH
59;PartA
60;PartD
61;PartE
62;PartF
63;PartG
64;PartH
