Global best makespan: 15179.26127869603
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartC
7;PartF
8;PartG
9;PartH
10;PartA
11;PartB
12;PartD
13;PartE
14;PartF
15;PartG
16;PartA
17;PartB
18;PartC
19;PartD
20;PartE
21;PartH
22;PartF
23;PartG
24;PartH
25;PartA
26;PartB
27;PartC
28;PartD
29;PartE
30;PartF
31;PartG
32;PartB
33;PartH
34;PartA
35;PartB
36;PartC
37;PartD
38;PartE
39;PartF
40;PartG
41;PartH
42;PartA
43;PartB
44;PartC
45;PartD
46;PartE
47;PartF
48;PartG
49;PartH
50;PartC
51;PartD
52;PartA
53;PartD
54;PartE
55;PartF
56;PartG
57;PartH
58;PartA
59;PartB
60;PartC
61;PartE
62;PartF
63;PartG
64;PartH
