Global best makespan: 15054.320721313996
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartG
4;PartC
5;PartD
6;PartE
7;PartC
8;PartF
9;PartH
10;PartG
11;PartG
12;PartA
13;PartB
14;PartD
15;PartE
16;PartF
17;PartG
18;PartC
19;PartB
20;PartC
21;PartA
22;PartE
23;PartH
24;PartF
25;PartG
26;PartH
27;PartA
28;PartD
29;PartD
30;PartE
31;PartF
32;PartG
33;PartH
34;PartA
35;PartB
36;PartC
37;PartD
38;PartE
39;PartF
40;PartG
41;PartH
42;PartA
43;PartC
44;PartB
45;PartB
46;PartD
47;PartF
48;PartE
49;PartB
50;PartH
51;PartA
52;PartF
53;PartC
54;PartD
55;PartF
56;PartH
57;PartA
58;PartB
59;PartC
60;PartD
61;PartE
62;PartG
63;PartE
64;PartH
