iteration;restart_id;iteration_in_restart;candidate_in_iteration;search_mode;no_improvement_count_before_iteration;parent_sequence_signature;action;swap_i;swap_j;move_from;move_to;reverse_start;reverse_end;reinsert_block_start;reinsert_block_end;reinsert_block_to;swap_blocks_start1;swap_blocks_end1;swap_blocks_start2;swap_blocks_end2;valid;duplicate_for_same_parent_sequence;recently_rejected_for_same_parent_sequence;diversification_compatible;parse_error;validation_message;resulting_makespan;best_makespan_before;best_makespan_after;global_best_makespan_after;completed_simulations;actual_global_best_makespan;elapsed_optimization_time_sec;delta_vs_best_before;status;llm_time_sec;simulation_time_sec;exited_parts;completion_valid;llm_attempts;retry_reason
1;1;1;1;normal;0;0f63cf6f404e;move;;;10;5;;;;;;;;;;True;False;False;False;;ok;15621.654598931518;16630.57522948563;16630.57522948563;16630.57522948563;2;16630.57522948563;17.5502;-1008.9206305541102;Evaluated;15.3204;2.2215;64;True;1;
1;1;1;2;normal;0;0f63cf6f404e;swap;18;20;;;;;;;;;;;;True;False;False;False;;ok;17396.195909480055;16630.57522948563;16630.57522948563;16630.57522948563;3;16630.57522948563;24.7862;765.6206799944266;Evaluated;4.8052;2.4298;64;True;1;
1;1;1;3;normal;0;0f63cf6f404e;reinsert_block;;;;;;;32;40;56;;;;;True;False;False;True;;ok;16629.569148181658;16630.57522948563;16630.57522948563;16630.57522948563;4;16630.57522948563;32.2962;-1.0060813039708592;Evaluated;5.0796;2.4274;64;True;1;
1;1;1;4;normal;0;0f63cf6f404e;move;;;50;48;;;;;;;;;;True;False;False;False;;ok;16173.884877771556;16630.57522948563;16630.57522948563;16630.57522948563;5;16630.57522948563;39.5819;-456.6903517140727;Evaluated;4.848;2.4352;64;True;1;
1;1;1;5;normal;0;0f63cf6f404e;move;;;16;8;;;;;;;;;;True;False;False;False;;ok;17742.48518681015;16630.57522948563;16630.57522948563;16630.57522948563;6;16630.57522948563;46.7128;1111.909957324522;Evaluated;4.6981;2.4303;64;True;1;
1;1;1;;normal;0;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;15621.654598931518;15621.654598931518;6;15621.654598931518;46.7318;;IterationSummary;;;;;;
2;1;2;1;normal;0;457c4bc75f95;move;;;10;5;;;;;;;;;;True;False;False;False;;ok;18199.88513772502;15621.654598931518;15621.654598931518;15621.654598931518;7;15621.654598931518;54.7474;2578.230538793503;Evaluated;5.3821;2.6243;64;True;1;
2;1;2;2;normal;0;457c4bc75f95;swap;17;25;;;;;;;;;;;;True;False;False;False;;ok;15621.654598931518;15621.654598931518;15621.654598931518;15621.654598931518;8;15621.654598931518;62.2859;0.0;Evaluated;5.3139;2.222;64;True;1;
2;1;2;3;normal;0;457c4bc75f95;reinsert_block;;;;;;;35;40;20;;;;;True;False;False;True;;ok;17247.811309578254;15621.654598931518;15621.654598931518;15621.654598931518;9;15621.654598931518;70.2273;1626.1567106467355;Evaluated;5.5179;2.4226;64;True;1;
2;1;2;4;normal;0;457c4bc75f95;move;;;48;56;;;;;;;;;;True;False;False;False;;ok;15406.651739226998;15621.654598931518;15621.654598931518;15621.654598931518;10;15621.654598931518;78.5386;-215.00285970452023;Evaluated;6.076;2.2326;64;True;1;
2;1;2;5;normal;0;457c4bc75f95;move;;;24;10;;;;;;;;;;True;False;False;True;;ok;17739.961180699804;15621.654598931518;15621.654598931518;15621.654598931518;11;15621.654598931518;86.0278;2118.3065817682855;Evaluated;5.0636;2.4239;64;True;1;
2;1;2;;normal;0;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;15406.651739226998;15406.651739226998;11;15406.651739226998;86.0466;;IterationSummary;;;;;;
3;1;3;1;normal;0;c4f08816339c;move;;;5;10;;;;;;;;;;True;False;False;False;;ok;16629.073347886864;15406.651739226998;15406.651739226998;15406.651739226998;12;15406.651739226998;94.1501;1222.4216086598663;Evaluated;5.6696;2.4287;64;True;1;
3;1;3;2;normal;0;c4f08816339c;swap;18;20;;;;;;;;;;;;True;False;False;False;;ok;17281.104241765846;15406.651739226998;15406.651739226998;15406.651739226998;13;15406.651739226998;101.8751;1874.4525025388484;Evaluated;5.2938;2.4296;64;True;1;
3;1;3;3;normal;0;c4f08816339c;reinsert_block;;;;;;;35;40;25;;;;;True;False;False;True;;ok;16439.62456402058;15406.651739226998;15406.651739226998;15406.651739226998;14;15406.651739226998;110.0898;1032.9728247935836;Evaluated;5.789;2.4232;64;True;1;
3;1;3;4;normal;0;c4f08816339c;move;;;50;48;;;;;;;;;;True;False;False;False;;ok;15403.318827591169;15406.651739226998;15406.651739226998;15406.651739226998;15;15406.651739226998;117.5006;-3.3329116358290776;Evaluated;5.1808;2.2268;64;True;1;
3;1;3;5;normal;0;c4f08816339c;move;;;18;23;;;;;;;;;;True;False;False;False;;ok;17350.75334847589;15406.651739226998;15406.651739226998;15406.651739226998;16;15406.651739226998;125.0374;1944.1016092488917;Evaluated;5.1027;2.4316;64;True;1;
3;1;3;;normal;0;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;15403.318827591169;15403.318827591169;16;15403.318827591169;125.0509;;IterationSummary;;;;;;
4;1;4;1;normal;0;be64b0457b8a;move;;;10;5;;;;;;;;;;True;False;False;False;;ok;17743.454975517165;15403.318827591169;15403.318827591169;15403.318827591169;17;15403.318827591169;132.878;2340.136147925996;Evaluated;5.3902;2.4288;64;True;1;
4;1;4;2;normal;0;be64b0457b8a;swap;20;25;;;;;;;;;;;;True;False;False;False;;ok;17265.201769267034;15403.318827591169;15403.318827591169;15403.318827591169;18;15403.318827591169;140.4358;1861.8829416758654;Evaluated;5.1285;2.4266;64;True;1;
