iteration;restart_id;iteration_in_restart;candidate_in_iteration;search_mode;no_improvement_count_before_iteration;parent_sequence_signature;action;swap_i;swap_j;move_from;move_to;reverse_start;reverse_end;reinsert_block_start;reinsert_block_end;reinsert_block_to;swap_blocks_start1;swap_blocks_end1;swap_blocks_start2;swap_blocks_end2;valid;duplicate_for_same_parent_sequence;recently_rejected_for_same_parent_sequence;diversification_compatible;parse_error;validation_message;resulting_makespan;best_makespan_before;best_makespan_after;global_best_makespan_after;completed_simulations;actual_global_best_makespan;elapsed_optimization_time_sec;delta_vs_best_before;status;llm_time_sec;simulation_time_sec;exited_parts;completion_valid;llm_attempts;retry_reason
1;1;1;1;normal;0;0f63cf6f404e;move;;;5;10;;;;;;;;;;True;False;False;False;;ok;17535.06888898726;16630.57522948563;16630.57522948563;16630.57522948563;2;16630.57522948563;17.243;904.4936595016334;Evaluated;14.803;2.4315;64;True;1;
1;1;1;2;normal;0;0f63cf6f404e;swap;19;20;;;;;;;;;;;;True;False;False;False;;ok;17554.552539778797;16630.57522948563;16630.57522948563;16630.57522948563;3;16630.57522948563;24.358;923.9773102931686;Evaluated;4.6792;2.4329;64;True;1;
1;1;1;3;normal;0;0f63cf6f404e;reinsert_block;;;;;;;32;40;48;;;;;True;False;False;True;;ok;16633.0922901312;16630.57522948563;16630.57522948563;16630.57522948563;4;16630.57522948563;31.8489;2.517060645572201;Evaluated;5.0642;2.4242;64;True;1;
1;1;1;4;normal;0;0f63cf6f404e;move;;;50;52;;;;;;;;;;True;False;False;False;;ok;16172.55107978234;16630.57522948563;16630.57522948563;16630.57522948563;5;16630.57522948563;39.1299;-458.02414970328755;Evaluated;4.8482;2.4303;64;True;1;
1;1;1;5;normal;0;0f63cf6f404e;move;;;16;32;;;;;;;;;;True;False;False;True;;ok;17551.364529165974;16630.57522948563;16630.57522948563;16630.57522948563;6;16630.57522948563;46.3143;920.7892996803457;Evaluated;4.755;2.4282;64;True;1;
1;1;1;;normal;0;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;16172.55107978234;16172.55107978234;6;16172.55107978234;46.3254;;IterationSummary;;;;;;
2;1;2;1;normal;0;c8bc9a056191;move;;;5;10;;;;;;;;;;True;False;False;False;;ok;17076.107149414005;16172.55107978234;16172.55107978234;16172.55107978234;7;16172.55107978234;54.2443;903.5560696316643;Evaluated;5.4844;2.426;64;True;1;
2;1;2;2;normal;0;c8bc9a056191;swap;20;21;;;;;;;;;;;;True;False;False;False;;ok;16174.788028007666;16172.55107978234;16172.55107978234;16172.55107978234;8;16172.55107978234;61.8131;2.23694822532525;Evaluated;5.1417;2.4242;64;True;1;
2;1;2;3;normal;0;c8bc9a056191;reinsert_block;;;;;;;35;40;28;;;;;True;False;False;False;;ok;16367.120131137473;16172.55107978234;16172.55107978234;16172.55107978234;9;16172.55107978234;70.0506;194.56905135513261;Evaluated;5.8126;2.4224;64;True;1;
2;1;2;4;normal;0;c8bc9a056191;move;;;58;49;;;;;;;;;;True;False;False;False;;ok;16635.67706837423;16172.55107978234;16172.55107978234;16172.55107978234;10;16172.55107978234;77.6274;463.125988591888;Evaluated;5.1486;2.4257;64;True;1;
2;1;2;5;normal;0;c8bc9a056191;move;;;28;36;;;;;;;;;;True;False;False;False;;ok;16180.541331227258;16172.55107978234;16172.55107978234;16172.55107978234;11;16172.55107978234;85.1793;7.990251444916794;Evaluated;5.1241;2.4249;64;True;1;
2;1;2;;normal;1;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;16172.55107978234;16172.55107978234;11;16172.55107978234;85.1822;;IterationSummary;;;;;;
3;1;3;1;normal;1;c8bc9a056191;move;;;10;5;;;;;;;;;;True;False;False;False;;ok;15529.23471503966;16172.55107978234;16172.55107978234;16172.55107978234;12;16172.55107978234;92.8305;-643.3163647426809;Evaluated;5.401;2.2317;64;True;1;
3;1;3;2;normal;1;c8bc9a056191;swap;25;26;;;;;;;;;;;;True;False;False;False;;ok;16172.55107978234;16172.55107978234;16172.55107978234;16172.55107978234;13;16172.55107978234;104.2924;0.0;Evaluated;9.0286;2.4306;64;True;2;duplicate_for_same_parent_sequence
3;1;3;3;normal;1;c8bc9a056191;reinsert_block;;;;;;;36;40;28;;;;;True;False;False;True;;ok;16013.52957964605;16172.55107978234;16172.55107978234;16172.55107978234;14;16172.55107978234;111.9255;-159.02150013629034;Evaluated;5.4051;2.2255;64;True;1;
3;1;3;4;normal;1;c8bc9a056191;move;;;50;48;;;;;;;;;;True;False;False;False;;ok;16638.195118925894;16172.55107978234;16172.55107978234;16172.55107978234;15;16172.55107978234;119.576;465.6440391435535;Evaluated;5.2174;2.4303;64;True;1;
