Global best makespan: 15354.718117982622
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartC
7;PartF
8;PartG
9;PartH
10;PartA
11;PartB
12;PartD
13;PartE
14;PartF
15;PartG
16;PartA
17;PartB
18;PartC
19;PartD
20;PartE
21;PartH
22;PartF
23;PartG
24;PartH
25;PartA
26;PartB
27;PartC
28;PartD
29;PartE
30;PartF
31;PartG
32;PartH
33;PartA
34;PartB
35;PartC
36;PartD
37;PartE
38;PartF
39;PartG
40;PartH
41;PartB
42;PartB
43;PartC
44;PartD
45;PartE
46;PartF
47;PartG
48;PartH
49;PartD
50;PartE
51;PartB
52;PartC
53;PartE
54;PartF
55;PartG
56;PartH
57;PartA
58;PartA
59;PartA
60;PartC
61;PartD
62;PartF
63;PartG
64;PartH
