Global best makespan: 14276.308132557766
Random seed: 1609210932
Completed simulations: 3001
Optimization time excluding initial baseline: 1984.1412 s
Sequence length: 64

Position;Part
1;PartC
2;PartH
3;PartD
4;PartF
5;PartF
6;PartA
7;PartE
8;PartC
9;PartD
10;PartF
11;PartH
12;PartA
13;PartH
14;PartA
15;PartB
16;PartC
17;PartE
18;PartC
19;PartG
20;PartB
21;PartG
22;PartG
23;PartG
24;PartE
25;PartD
26;PartA
27;PartB
28;PartE
29;PartA
30;PartC
31;PartF
32;PartB
33;PartG
34;PartD
35;PartB
36;PartE
37;PartH
38;PartG
39;PartF
40;PartD
41;PartC
42;PartE
43;PartH
44;PartA
45;PartG
46;PartB
47;PartD
48;PartH
49;PartC
50;PartE
51;PartF
52;PartB
53;PartC
54;PartF
55;PartH
56;PartB
57;PartD
58;PartF
59;PartA
60;PartA
61;PartH
62;PartD
63;PartE
64;PartG
