Global best makespan: 15105.15204182474
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartA
5;PartD
6;PartE
7;PartG
8;PartC
9;PartF
10;PartB
11;PartD
12;PartG
13;PartE
14;PartF
15;PartG
16;PartH
17;PartA
18;PartB
19;PartC
20;PartD
21;PartH
22;PartH
23;PartE
24;PartF
25;PartG
26;PartA
27;PartB
28;PartC
29;PartD
30;PartE
31;PartF
32;PartG
33;PartH
34;PartA
35;PartB
36;PartC
37;PartD
38;PartE
39;PartF
40;PartG
41;PartH
42;PartA
43;PartB
44;PartC
45;PartD
46;PartH
47;PartE
48;PartF
49;PartG
50;PartH
51;PartA
52;PartA
53;PartC
54;PartB
55;PartD
56;PartE
57;PartF
58;PartB
59;PartG
60;PartC
61;PartD
62;PartE
63;PartF
64;PartH
