iteration;restart_id;iteration_in_restart;candidate_in_iteration;search_mode;no_improvement_count_before_iteration;parent_sequence_signature;action;swap_i;swap_j;move_from;move_to;reverse_start;reverse_end;reinsert_block_start;reinsert_block_end;reinsert_block_to;swap_blocks_start1;swap_blocks_end1;swap_blocks_start2;swap_blocks_end2;valid;duplicate_for_same_parent_sequence;recently_rejected_for_same_parent_sequence;diversification_compatible;parse_error;validation_message;resulting_makespan;best_makespan_before;best_makespan_after;global_best_makespan_after;completed_simulations;actual_global_best_makespan;elapsed_optimization_time_sec;delta_vs_best_before;status;llm_time_sec;simulation_time_sec;exited_parts;completion_valid;llm_attempts;retry_reason
1;1;1;1;normal;0;0f63cf6f404e;move;;;10;5;;;;;;;;;;True;False;False;False;;ok;15624.28520901457;16641.404845676683;16641.404845676683;16641.404845676683;2;16641.404845676683;7.4423;-1017.1196366621134;Evaluated;5.1799;2.2541;64;True;1;
1;1;1;2;normal;0;0f63cf6f404e;swap;20;21;;;;;;;;;;;;True;False;False;False;;ok;16629.23952903216;16641.404845676683;16641.404845676683;16641.404845676683;3;16641.404845676683;14.6518;-12.165316644524864;Evaluated;4.7295;2.477;64;True;1;
1;1;1;3;normal;0;0f63cf6f404e;reinsert_block;;;;;;;32;40;16;;;;;True;False;False;True;;ok;16298.825894167576;16641.404845676683;16641.404845676683;16641.404845676683;4;16641.404845676683;22.1656;-342.57895150910736;Evaluated;5.2313;2.279;64;True;1;
1;1;1;4;normal;0;0f63cf6f404e;move;;;50;52;;;;;;;;;;True;False;False;False;;ok;16180.658573072104;16641.404845676683;16641.404845676683;16641.404845676683;5;16641.404845676683;29.2608;-460.74627260457964;Evaluated;4.8163;2.2761;64;True;1;
1;1;1;5;normal;0;0f63cf6f404e;move;;;8;16;;;;;;;;;;True;False;False;False;;ok;16701.622490791764;16641.404845676683;16641.404845676683;16641.404845676683;6;16641.404845676683;36.5516;60.21764511508081;Evaluated;4.8403;2.4468;64;True;1;
1;1;1;;normal;0;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;15624.28520901457;15624.28520901457;6;15624.28520901457;36.5687;;IterationSummary;;;;;;
2;1;2;1;normal;0;457c4bc75f95;move;;;10;5;;;;;;;;;;True;False;False;False;;ok;18200.878935664194;15624.28520901457;15624.28520901457;15624.28520901457;7;15624.28520901457;44.5951;2576.593726649624;Evaluated;5.534;2.486;64;True;1;
2;1;2;2;normal;0;457c4bc75f95;swap;25;26;;;;;;;;;;;;True;False;False;False;;ok;15624.28520901457;15624.28520901457;15624.28520901457;15624.28520901457;8;15624.28520901457;52.1445;0.0;Evaluated;5.2878;2.2587;64;True;1;
2;1;2;3;normal;0;457c4bc75f95;reinsert_block;;;;;;;35;40;16;;;;;True;False;False;True;;ok;17708.93965304319;15624.28520901457;15624.28520901457;15624.28520901457;9;15624.28520901457;60.3637;2084.6544440286216;Evaluated;5.7384;2.4777;64;True;1;
2;1;2;4;normal;0;457c4bc75f95;move;;;50;60;;;;;;;;;;True;False;False;True;;ok;15651.931550414987;15624.28520901457;15624.28520901457;15624.28520901457;10;15624.28520901457;67.9404;27.64634140041744;Evaluated;5.3298;2.2438;64;True;1;
2;1;2;5;normal;0;457c4bc75f95;move;;;24;36;;;;;;;;;;True;False;False;True;;ok;15911.628950963572;15624.28520901457;15624.28520901457;15624.28520901457;11;15624.28520901457;75.2917;287.3437419490019;Evaluated;5.1014;2.2467;64;True;1;
2;1;2;;normal;1;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;15624.28520901457;15624.28520901457;11;15624.28520901457;75.2924;;IterationSummary;;;;;;
3;1;3;1;normal;1;457c4bc75f95;move;;;5;10;;;;;;;;;;True;False;False;False;;ok;16641.404845676683;15624.28520901457;15624.28520901457;15624.28520901457;12;15624.28520901457;83.1625;1017.1196366621134;Evaluated;5.396;2.4673;64;True;1;
3;1;3;2;normal;1;457c4bc75f95;swap;18;20;;;;;;;;;;;;True;False;False;False;;ok;17126.839559399566;15624.28520901457;15624.28520901457;15624.28520901457;13;15624.28520901457;91.1101;1502.5543503849967;Evaluated;5.4906;2.4538;64;True;1;
