Global best makespan: 15079.264022399608
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartG
5;PartD
6;PartE
7;PartA
8;PartC
9;PartF
10;PartG
11;PartD
12;PartE
13;PartF
14;PartG
15;PartA
16;PartB
17;PartC
18;PartD
19;PartE
20;PartH
21;PartF
22;PartG
23;PartH
24;PartB
25;PartB
26;PartC
27;PartD
28;PartE
29;PartF
30;PartG
31;PartH
32;PartA
33;PartB
34;PartC
35;PartA
36;PartB
37;PartD
38;PartE
39;PartF
40;PartG
41;PartH
42;PartB
43;PartA
44;PartC
45;PartD
46;PartE
47;PartH
48;PartF
49;PartG
50;PartH
51;PartD
52;PartC
53;PartH
54;PartA
55;PartE
56;PartF
57;PartG
58;PartA
59;PartB
60;PartC
61;PartD
62;PartE
63;PartF
64;PartH
