Global best makespan: 15228.996646103
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartC
7;PartF
8;PartH
9;PartA
10;PartB
11;PartD
12;PartE
13;PartG
14;PartF
15;PartG
16;PartA
17;PartB
18;PartC
19;PartD
20;PartE
21;PartH
22;PartF
23;PartG
24;PartH
25;PartB
26;PartC
27;PartD
28;PartE
29;PartF
30;PartG
31;PartH
32;PartA
33;PartB
34;PartC
35;PartD
36;PartA
37;PartE
38;PartF
39;PartG
40;PartH
41;PartA
42;PartB
43;PartC
44;PartD
45;PartE
46;PartF
47;PartG
48;PartH
49;PartC
50;PartB
51;PartA
52;PartD
53;PartE
54;PartF
55;PartG
56;PartH
57;PartA
58;PartB
59;PartC
60;PartD
61;PartE
62;PartF
63;PartG
64;PartH
