Global best makespan: 15359.74096821535
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartH
7;PartC
8;PartF
9;PartG
10;PartH
11;PartA
12;PartB
13;PartD
14;PartE
15;PartF
16;PartG
17;PartA
18;PartB
19;PartC
20;PartD
21;PartE
22;PartF
23;PartG
24;PartH
25;PartA
26;PartB
27;PartC
28;PartD
29;PartE
30;PartF
31;PartG
32;PartH
33;PartB
34;PartA
35;PartB
36;PartC
37;PartD
38;PartE
39;PartF
40;PartG
41;PartH
42;PartB
43;PartC
44;PartD
45;PartE
46;PartF
47;PartA
48;PartG
49;PartE
50;PartH
51;PartC
52;PartA
53;PartD
54;PartF
55;PartG
56;PartH
57;PartA
58;PartB
59;PartC
60;PartD
61;PartE
62;PartF
63;PartG
64;PartH
