Global best makespan: 14980.512580292349
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartF
7;PartG
8;PartA
9;PartB
10;PartC
11;PartD
12;PartE
13;PartH
14;PartF
15;PartG
16;PartH
17;PartA
18;PartB
19;PartC
20;PartD
21;PartE
22;PartF
23;PartG
24;PartH
25;PartA
26;PartB
27;PartC
28;PartD
29;PartE
30;PartF
31;PartG
32;PartB
33;PartH
34;PartA
35;PartB
36;PartC
37;PartD
38;PartE
39;PartF
40;PartG
41;PartH
42;PartA
43;PartB
44;PartC
45;PartD
46;PartE
47;PartF
48;PartG
49;PartH
50;PartA
51;PartG
52;PartB
53;PartC
54;PartD
55;PartE
56;PartF
57;PartG
58;PartH
59;PartA
60;PartC
61;PartD
62;PartE
63;PartF
64;PartH
