Global best makespan: 15218.179478711938
Sequence length: 64

Position;Part
1;PartA
2;PartC
3;PartD
4;PartE
5;PartF
6;PartB
7;PartG
8;PartH
9;PartA
10;PartB
11;PartC
12;PartD
13;PartE
14;PartF
15;PartG
16;PartH
17;PartA
18;PartB
19;PartC
20;PartD
21;PartB
22;PartF
23;PartG
24;PartE
25;PartA
26;PartH
27;PartC
28;PartD
29;PartE
30;PartF
31;PartA
32;PartG
33;PartH
34;PartA
35;PartB
36;PartC
37;PartD
38;PartE
39;PartF
40;PartG
41;PartH
42;PartB
43;PartA
44;PartC
45;PartD
46;PartE
47;PartF
48;PartG
49;PartC
50;PartH
51;PartB
52;PartA
53;PartD
54;PartE
55;PartF
56;PartG
57;PartH
58;PartB
59;PartC
60;PartD
61;PartE
62;PartF
63;PartG
64;PartH
