Global best makespan: 15138.922754283614
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartC
7;PartF
8;PartH
9;PartA
10;PartB
11;PartD
12;PartE
13;PartG
14;PartF
15;PartG
16;PartA
17;PartA
18;PartC
19;PartD
20;PartE
21;PartH
22;PartF
23;PartG
24;PartH
25;PartB
26;PartB
27;PartC
28;PartD
29;PartE
30;PartF
31;PartG
32;PartH
33;PartA
34;PartB
35;PartC
36;PartA
37;PartD
38;PartE
39;PartC
40;PartG
41;PartH
42;PartB
43;PartF
44;PartD
45;PartE
46;PartG
47;PartH
48;PartC
49;PartF
50;PartA
51;PartB
52;PartD
53;PartE
54;PartG
55;PartH
56;PartA
57;PartF
58;PartB
59;PartC
60;PartD
61;PartE
62;PartF
63;PartG
64;PartH
