Global best makespan: 14817.773087967562
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartF
7;PartG
8;PartH
9;PartA
10;PartB
11;PartC
12;PartD
13;PartE
14;PartF
15;PartG
16;PartH
17;PartA
18;PartB
19;PartC
20;PartD
21;PartE
22;PartF
23;PartG
24;PartH
25;PartA
26;PartB
27;PartC
28;PartD
29;PartE
30;PartF
31;PartH
32;PartG
33;PartH
34;PartA
35;PartB
36;PartC
37;PartD
38;PartE
39;PartF
40;PartG
41;PartA
42;PartH
43;PartA
44;PartB
45;PartC
46;PartD
47;PartE
48;PartF
49;PartG
50;PartE
51;PartB
52;PartD
53;PartH
54;PartG
55;PartC
56;PartE
57;PartF
58;PartG
59;PartA
60;PartB
61;PartC
62;PartD
63;PartF
64;PartH
