Global best makespan: 14467.389578918808
Random seed: 2753953094
Completed simulations: 3001
Optimization time excluding initial baseline: 1981.6303 s
Sequence length: 64

Position;Part
1;PartD
2;PartC
3;PartF
4;PartE
5;PartG
6;PartB
7;PartD
8;PartD
9;PartA
10;PartF
11;PartH
12;PartA
13;PartH
14;PartD
15;PartF
16;PartE
17;PartA
18;PartB
19;PartF
20;PartG
21;PartC
22;PartD
23;PartA
24;PartG
25;PartG
26;PartE
27;PartA
28;PartD
29;PartF
30;PartG
31;PartH
32;PartD
33;PartE
34;PartC
35;PartC
36;PartA
37;PartF
38;PartH
39;PartE
40;PartC
41;PartB
42;PartH
43;PartH
44;PartA
45;PartF
46;PartE
47;PartB
48;PartB
49;PartG
50;PartC
51;PartG
52;PartB
53;PartG
54;PartC
55;PartA
56;PartB
57;PartE
58;PartF
59;PartH
60;PartD
61;PartH
62;PartC
63;PartB
64;PartE
