Global best makespan: 14376.473973855504
Random seed: 2389766269
Completed simulations: 3001
Optimization time excluding initial baseline: 1983.3836 s
Sequence length: 64

Position;Part
1;PartC
2;PartD
3;PartB
4;PartF
5;PartC
6;PartH
7;PartE
8;PartB
9;PartD
10;PartA
11;PartG
12;PartF
13;PartA
14;PartD
15;PartE
16;PartH
17;PartG
18;PartC
19;PartF
20;PartC
21;PartH
22;PartB
23;PartF
24;PartD
25;PartA
26;PartA
27;PartH
28;PartE
29;PartC
30;PartH
31;PartF
32;PartD
33;PartB
34;PartA
35;PartE
36;PartG
37;PartG
38;PartB
39;PartE
40;PartF
41;PartA
42;PartH
43;PartC
44;PartF
45;PartH
46;PartD
47;PartC
48;PartH
49;PartG
50;PartB
51;PartE
52;PartB
53;PartF
54;PartA
55;PartD
56;PartA
57;PartG
58;PartD
59;PartE
60;PartG
61;PartC
62;PartB
63;PartE
64;PartG
