Global best makespan: 14195.279937189738
Random seed: 1294933356
Completed simulations: 3001
Optimization time excluding initial baseline: 1986.0910 s
Sequence length: 64

Position;Part
1;PartC
2;PartF
3;PartD
4;PartC
5;PartF
6;PartG
7;PartE
8;PartC
9;PartF
10;PartA
11;PartH
12;PartB
13;PartG
14;PartH
15;PartD
16;PartA
17;PartE
18;PartG
19;PartD
20;PartE
21;PartA
22;PartC
23;PartH
24;PartG
25;PartB
26;PartH
27;PartF
28;PartH
29;PartC
30;PartA
31;PartE
32;PartB
33;PartA
34;PartD
35;PartF
36;PartD
37;PartC
38;PartB
39;PartF
40;PartE
41;PartD
42;PartG
43;PartH
44;PartB
45;PartG
46;PartA
47;PartF
48;PartC
49;PartG
50;PartE
51;PartB
52;PartH
53;PartB
54;PartC
55;PartB
56;PartE
57;PartD
58;PartG
59;PartD
60;PartH
61;PartA
62;PartF
63;PartA
64;PartE
