Global best makespan: 14407.94031021178
Random seed: 676114771
Completed simulations: 3001
Optimization time excluding initial baseline: 1988.3155 s
Sequence length: 64

Position;Part
1;PartD
2;PartA
3;PartD
4;PartE
5;PartG
6;PartH
7;PartB
8;PartC
9;PartF
10;PartF
11;PartC
12;PartA
13;PartC
14;PartG
15;PartE
16;PartH
17;PartA
18;PartH
19;PartE
20;PartB
21;PartF
22;PartA
23;PartD
24;PartH
25;PartD
26;PartB
27;PartG
28;PartE
29;PartD
30;PartH
31;PartF
32;PartA
33;PartC
34;PartB
35;PartH
36;PartE
37;PartG
38;PartA
39;PartD
40;PartF
41;PartC
42;PartC
43;PartH
44;PartB
45;PartB
46;PartF
47;PartG
48;PartE
49;PartA
50;PartB
51;PartD
52;PartG
53;PartE
54;PartC
55;PartG
56;PartA
57;PartF
58;PartC
59;PartH
60;PartF
61;PartD
62;PartE
63;PartB
64;PartG
