Global best makespan: 14548.421191440533
Random seed: 2216006584
Completed simulations: 3001
Optimization time excluding initial baseline: 1983.9243 s
Sequence length: 64

Position;Part
1;PartD
2;PartC
3;PartG
4;PartE
5;PartC
6;PartH
7;PartH
8;PartB
9;PartC
10;PartB
11;PartF
12;PartB
13;PartE
14;PartG
15;PartH
16;PartC
17;PartB
18;PartF
19;PartD
20;PartC
21;PartF
22;PartA
23;PartH
24;PartA
25;PartF
26;PartE
27;PartD
28;PartH
29;PartG
30;PartG
31;PartA
32;PartC
33;PartG
34;PartE
35;PartD
36;PartH
37;PartH
38;PartA
39;PartE
40;PartF
41;PartB
42;PartD
43;PartF
44;PartA
45;PartE
46;PartB
47;PartG
48;PartG
49;PartD
50;PartA
51;PartD
52;PartG
53;PartA
54;PartE
55;PartA
56;PartB
57;PartF
58;PartD
59;PartC
60;PartF
61;PartC
62;PartE
63;PartH
64;PartB
