Global best makespan: 14791.947112760296
Random seed: 2132552127
Completed simulations: 3001
Optimization time excluding initial baseline: 1983.4107 s
Sequence length: 64

Position;Part
1;PartD
2;PartF
3;PartD
4;PartA
5;PartF
6;PartH
7;PartC
8;PartB
9;PartC
10;PartG
11;PartA
12;PartG
13;PartE
14;PartH
15;PartB
16;PartE
17;PartG
18;PartD
19;PartG
20;PartA
21;PartE
22;PartG
23;PartH
24;PartC
25;PartB
26;PartH
27;PartB
28;PartE
29;PartC
30;PartE
31;PartB
32;PartB
33;PartH
34;PartD
35;PartA
36;PartC
37;PartH
38;PartF
39;PartB
40;PartA
41;PartF
42;PartF
43;PartC
44;PartE
45;PartD
46;PartA
47;PartG
48;PartD
49;PartB
50;PartG
51;PartG
52;PartE
53;PartH
54;PartF
55;PartF
56;PartA
57;PartC
58;PartD
59;PartD
60;PartC
61;PartE
62;PartH
63;PartF
64;PartA
