Global best makespan: 14647.497192979434
Random seed: 3990179454
Completed simulations: 3001
Optimization time excluding initial baseline: 1983.5653 s
Sequence length: 64

Position;Part
1;PartE
2;PartF
3;PartC
4;PartF
5;PartD
6;PartH
7;PartA
8;PartH
9;PartD
10;PartF
11;PartC
12;PartG
13;PartB
14;PartH
15;PartB
16;PartE
17;PartB
18;PartA
19;PartC
20;PartH
21;PartD
22;PartE
23;PartF
24;PartH
25;PartA
26;PartB
27;PartA
28;PartG
29;PartD
30;PartC
31;PartF
32;PartF
33;PartH
34;PartE
35;PartA
36;PartC
37;PartB
38;PartD
39;PartE
40;PartG
41;PartC
42;PartG
43;PartE
44;PartB
45;PartG
46;PartA
47;PartA
48;PartF
49;PartD
50;PartH
51;PartG
52;PartG
53;PartD
54;PartE
55;PartH
56;PartC
57;PartB
58;PartF
59;PartB
60;PartD
61;PartA
62;PartG
63;PartE
64;PartC
