Global best makespan: 14775.385908387509
Random seed: 336469047
Completed simulations: 3001
Optimization time excluding initial baseline: 2000.8367 s
Sequence length: 64

Position;Part
1;PartC
2;PartG
3;PartF
4;PartC
5;PartC
6;PartE
7;PartB
8;PartH
9;PartH
10;PartA
11;PartD
12;PartD
13;PartF
14;PartA
15;PartA
16;PartB
17;PartG
18;PartE
19;PartE
20;PartG
21;PartG
22;PartD
23;PartG
24;PartE
25;PartA
26;PartF
27;PartD
28;PartD
29;PartG
30;PartB
31;PartH
32;PartE
33;PartA
34;PartF
35;PartB
36;PartE
37;PartA
38;PartH
39;PartD
40;PartB
41;PartF
42;PartC
43;PartC
44;PartH
45;PartB
46;PartA
47;PartD
48;PartF
49;PartD
50;PartH
51;PartG
52;PartA
53;PartE
54;PartG
55;PartH
56;PartC
57;PartF
58;PartB
59;PartC
60;PartB
61;PartH
62;PartC
63;PartE
64;PartF
