Global best makespan: 14481.917877831545
Random seed: 690936817
Completed simulations: 3001
Optimization time excluding initial baseline: 1981.7899 s
Sequence length: 64

Position;Part
1;PartC
2;PartE
3;PartG
4;PartF
5;PartC
6;PartB
7;PartD
8;PartG
9;PartE
10;PartG
11;PartG
12;PartA
13;PartE
14;PartH
15;PartC
16;PartF
17;PartH
18;PartB
19;PartA
20;PartB
21;PartD
22;PartC
23;PartF
24;PartE
25;PartB
26;PartH
27;PartF
28;PartB
29;PartC
30;PartG
31;PartH
32;PartD
33;PartG
34;PartC
35;PartG
36;PartA
37;PartE
38;PartC
39;PartB
40;PartE
41;PartD
42;PartA
43;PartA
44;PartH
45;PartF
46;PartD
47;PartH
48;PartG
49;PartA
50;PartB
51;PartD
52;PartE
53;PartF
54;PartF
55;PartH
56;PartB
57;PartC
58;PartD
59;PartF
60;PartD
61;PartA
62;PartH
63;PartE
64;PartA
